Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
StackingClassifier,Entrenamiento,0.99609375,0.9895287958115183,1.0,0.9947368421052631,0.9968944099378882,1.0,0.9938080495356038
StackingClassifier,Prueba,0.9298245614035088,0.9523809523809523,0.9166666666666666,0.909090909090909,0.9428571428571428,0.8695652173913043,0.9705882352941176
StackingClassifier,Entrenamiento,0.9921875,0.9790575916230366,1.0,0.9894179894179894,0.9938080495356036,1.0,0.9876923076923076
StackingClassifier,Prueba,0.9473684210526315,0.9523809523809523,0.9444444444444444,0.9302325581395349,0.9577464788732395,0.9090909090909091,0.9714285714285714
StackingClassifier,Entrenamiento,0.9921875,0.9842931937172775,0.9968847352024922,0.9894736842105263,0.9937888198757764,0.9947089947089947,0.9907120743034056
StackingClassifier,Prueba,0.9298245614035088,0.8571428571428571,0.9722222222222222,0.9,0.9459459459459458,0.9473684210526315,0.9210526315789473
StackingClassifier,Entrenamiento,0.99609375,0.9895287958115183,1.0,0.9947368421052631,0.9968944099378882,1.0,0.9938080495356038
StackingClassifier,Prueba,0.9649122807017544,0.9047619047619048,1.0,0.9500000000000001,0.972972972972973,1.0,0.9473684210526315
StackingClassifier,Entrenamiento,0.998046875,0.9947643979057592,1.0,0.9973753280839895,0.9984447900466563,1.0,0.9968944099378882
StackingClassifier,Prueba,0.9824561403508771,1.0,0.9722222222222222,0.9767441860465117,0.9859154929577464,0.9545454545454546,1.0
StackingClassifier,Entrenamiento,0.9921875,0.9790575916230366,1.0,0.9894179894179894,0.9938080495356036,1.0,0.9876923076923076
StackingClassifier,Prueba,0.9473684210526315,0.9047619047619048,0.9722222222222222,0.9268292682926829,0.9589041095890412,0.95,0.9459459459459459
StackingClassifier,Entrenamiento,0.994140625,0.9842931937172775,1.0,0.9920844327176782,0.9953488372093023,1.0,0.9907407407407407
StackingClassifier,Prueba,0.9473684210526315,0.9047619047619048,0.9722222222222222,0.9268292682926829,0.9589041095890412,0.95,0.9459459459459459
StackingClassifier,Entrenamiento,0.994140625,0.9842931937172775,1.0,0.9920844327176782,0.9953488372093023,1.0,0.9907407407407407
StackingClassifier,Prueba,0.8771929824561403,0.9047619047619048,0.8611111111111112,0.8444444444444444,0.8985507246376813,0.7916666666666666,0.9393939393939394
StackingClassifier,Entrenamiento,0.99609375,0.9947643979057592,0.9968847352024922,0.9947643979057592,0.9968847352024922,0.9947643979057592,0.9968847352024922
