Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
StackingClassifier,Entrenamiento,0.982421875,0.9937694704049844,0.9633507853403142,0.9860896445131375,0.9761273209549071,0.9785276073619632,0.989247311827957
StackingClassifier,Prueba,0.9473684210526315,0.9722222222222222,0.9047619047619048,0.9589041095890412,0.9268292682926829,0.9459459459459459,0.95
StackingClassifier,Entrenamiento,0.96875,0.9844236760124611,0.9424083769633508,0.9753086419753086,0.9574468085106382,0.9663608562691132,0.972972972972973
StackingClassifier,Prueba,0.9473684210526315,0.9722222222222222,0.9047619047619048,0.9589041095890412,0.9268292682926829,0.9459459459459459,0.95
StackingClassifier,Entrenamiento,0.9765625,0.9937694704049844,0.9476439790575916,0.9815384615384615,0.9679144385026738,0.9696048632218845,0.9890710382513661
StackingClassifier,Prueba,0.9473684210526315,0.9722222222222222,0.9047619047619048,0.9589041095890412,0.9268292682926829,0.9459459459459459,0.95
StackingClassifier,Entrenamiento,0.984375,0.9968847352024922,0.9633507853403142,0.9876543209876544,0.9787234042553191,0.9785932721712538,0.9945945945945946
StackingClassifier,Prueba,0.9122807017543859,0.9444444444444444,0.8571428571428571,0.9315068493150684,0.8780487804878048,0.918918918918919,0.9
StackingClassifier,Entrenamiento,0.9765625,0.9906542056074766,0.9528795811518325,0.9814814814814815,0.9680851063829787,0.9724770642201835,0.9837837837837838
StackingClassifier,Prueba,0.9122807017543859,0.9722222222222222,0.8095238095238095,0.9333333333333333,0.8717948717948718,0.8974358974358975,0.9444444444444444
StackingClassifier,Entrenamiento,0.978515625,0.9906542056074766,0.9581151832460733,0.9829984544049459,0.9708222811671087,0.9754601226993865,0.9838709677419355
StackingClassifier,Prueba,0.9649122807017544,1.0,0.9047619047619048,0.972972972972973,0.9500000000000001,0.9473684210526315,1.0
StackingClassifier,Entrenamiento,0.970703125,0.9813084112149533,0.9528795811518325,0.9767441860465117,0.9604221635883905,0.9722222222222222,0.9680851063829787
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,0.97265625,0.9844236760124611,0.9528795811518325,0.978328173374613,0.9629629629629629,0.9723076923076923,0.9732620320855615
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,0.97265625,0.9875389408099688,0.9476439790575916,0.9783950617283951,0.9627659574468085,0.9694189602446484,0.9783783783783784
StackingClassifier,Prueba,0.9122807017543859,0.9166666666666666,0.9047619047619048,0.9295774647887323,0.8837209302325582,0.9428571428571428,0.8636363636363636
StackingClassifier,Entrenamiento,0.982421875,0.9906542056074766,0.9685863874345549,0.986046511627907,0.9762532981530342,0.9814814814814815,0.9840425531914894
StackingClassifier,Prueba,0.9298245614035088,0.9722222222222222,0.8571428571428571,0.9459459459459458,0.9,0.9210526315789473,0.9473684210526315
votingClassifier,Entrenamiento,0.982421875,1.0,0.9528795811518325,0.9861751152073733,0.9758713136729222,0.9727272727272728,1.0
votingClassifier,Prueba,0.8947368421052632,1.0,0.7142857142857143,0.923076923076923,0.8333333333333333,0.8571428571428571,1.0
votingClassifier,Entrenamiento,0.982421875,1.0,0.9528795811518325,0.9861751152073733,0.9758713136729222,0.9727272727272728,1.0
votingClassifier,Prueba,0.8947368421052632,0.9722222222222222,0.7619047619047619,0.9210526315789473,0.8421052631578947,0.875,0.9411764705882353
votingClassifier,Entrenamiento,0.98046875,1.0,0.9476439790575916,0.9846625766871165,0.9731182795698924,0.9697885196374623,1.0
votingClassifier,Prueba,0.9298245614035088,1.0,0.8095238095238095,0.9473684210526316,0.8947368421052632,0.9,1.0
votingClassifier,Entrenamiento,0.986328125,1.0,0.9633507853403142,0.9892141756548537,0.9813333333333333,0.9786585365853658,1.0
votingClassifier,Prueba,0.8947368421052632,1.0,0.7142857142857143,0.923076923076923,0.8333333333333333,0.8571428571428571,1.0
votingClassifier,Entrenamiento,0.98046875,1.0,0.9476439790575916,0.9846625766871165,0.9731182795698924,0.9697885196374623,1.0
votingClassifier,Prueba,0.8771929824561403,0.9722222222222222,0.7142857142857143,0.9090909090909091,0.8108108108108109,0.8536585365853658,0.9375
votingClassifier,Entrenamiento,0.98046875,1.0,0.9476439790575916,0.9846625766871165,0.9731182795698924,0.9697885196374623,1.0
votingClassifier,Prueba,0.9122807017543859,1.0,0.7619047619047619,0.9350649350649352,0.8648648648648648,0.8780487804878049,1.0
votingClassifier,Entrenamiento,0.982421875,1.0,0.9528795811518325,0.9861751152073733,0.9758713136729222,0.9727272727272728,1.0
votingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
votingClassifier,Entrenamiento,0.978515625,1.0,0.9424083769633508,0.9831546707503829,0.9703504043126685,0.9668674698795181,1.0
votingClassifier,Prueba,0.9298245614035088,1.0,0.8095238095238095,0.9473684210526316,0.8947368421052632,0.9,1.0
votingClassifier,Entrenamiento,0.986328125,1.0,0.9633507853403142,0.9892141756548537,0.9813333333333333,0.9786585365853658,1.0
votingClassifier,Prueba,0.8771929824561403,0.9722222222222222,0.7142857142857143,0.9090909090909091,0.8108108108108109,0.8536585365853658,0.9375
votingClassifier,Entrenamiento,0.986328125,1.0,0.9633507853403142,0.9892141756548537,0.9813333333333333,0.9786585365853658,1.0
votingClassifier,Prueba,0.9122807017543859,1.0,0.7619047619047619,0.9350649350649352,0.8648648648648648,0.8780487804878049,1.0
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
